"index";"Nom de l'opérateur";"Millésime des données";"Code de l'IRIS - Code de la zone";"Code de l'IRIS - Libellé de la zone";"Energie concernée";"Code du grand secteur";"Consommation (en MWh)";"Nombre de points de livraison"
"ID";"OPERATEUR";"ANNEE";"IRIS";"IRIS_LIBELLE";"FILIERE";"CODE_GRAND_SECTEUR";"CONSO";"PDL"
"6402C";"EGURRETIK";"2023";"641020201";"Saint-Étienne-Arrousets";"C";"T";474.387002944946;5
"6402C";"EGURRETIK";"2023";"641020601";"Citadelle";"C";"R";483.700012207031;1
"6402C";"EGURRETIK";"2023";"641020601";"Citadelle";"C";"T";753.240005493164;2
"6402C";"EGURRETIK";"2023";"641021001";"Hauts de Sainte-Croix";"C";"R";4573.46005249023;6
"6402C";"EGURRETIK";"2023";"641021001";"Hauts de Sainte-Croix";"C";"T";3167.13199806213;6
"6402C";"EGURRETIK";"2023";"641021002";"Sainte-Croix-Grand Basque";"C";"R";1711.76998901367;5
"6402C";"EGURRETIK";"2023";"641021002";"Sainte-Croix-Grand Basque";"C";"T";1585.70299625396;12
"6403C";"PAU";"2023";"641290101";"Laffite";"C";"R";382.845275878906;1
"6403C";"PAU";"2023";"641290102";"Lacaou";"C";"T";440.26333618164;3
"6403C";"PAU";"2023";"641290103";"Asptt";"C";"R";920.797711634636;2
"6403C";"PAU";"2023";"641290103";"Asptt";"C";"T";863.589561462402;3
"6403C";"PAU";"2023";"641290104";"La Poste";"C";"T";1365.86564559936;7
"6403C";"PAU";"2023";"641290105";"Marnières";"C";"R";"secret";"secret"
"6403C";"PAU";"2023";"641290106";"La Plaine";"C";"T";"secret";"secret"
"6403C";"PAU";"2023";"643350104";"Sud-Est";"C";"T";"secret";"secret"
"6403C";"PAU";"2023";"643480101";"Zone Industrielle";"C";"T";"secret";"secret"
"6403C";"PAU";"2023";"644450101";"Pau Centre 1";"C";"R";448.598520507812;3
"6403C";"PAU";"2023";"644450101";"Pau Centre 1";"C";"T";2101.12835388183;6
"6403C";"PAU";"2023";"644450102";"Pau Centre 2";"C";"T";891.236154556275;5
"6403C";"PAU";"2023";"644450103";"Pau Centre 3";"C";"R";581.296573638916;4
"6403C";"PAU";"2023";"644450103";"Pau Centre 3";"C";"T";"secret";"secret"
"6403C";"PAU";"2023";"644450104";"Pau Centre 4";"C";"R";2948.22329711914;7
"6403C";"PAU";"2023";"644450104";"Pau Centre 4";"C";"T";302.652852058411;4
"6403C";"PAU";"2023";"644450105";"Pau Centre 5";"C";"R";2918.30305480956;6
"6403C";"PAU";"2023";"644450105";"Pau Centre 5";"C";"T";1960.48947143555;4
"6403C";"PAU";"2023";"644450106";"Pau Centre 6";"C";"R";3091.18244838714;8
"6403C";"PAU";"2023";"644450106";"Pau Centre 6";"C";"T";1286.28595123291;12
"6403C";"PAU";"2023";"644450107";"Pau Centre 7";"C";"R";3688.73983764648;7
"6403C";"PAU";"2023";"644450107";"Pau Centre 7";"C";"T";"secret";"secret"
"6403C";"PAU";"2023";"644450201";"Pau Nord 1";"C";"R";3117.45941162109;5
"6403C";"PAU";"2023";"644450201";"Pau Nord 1";"C";"T";429.455690582275;4
"6403C";"PAU";"2023";"644450202";"Pau Nord 2";"C";"R";1486.27740478516;4
"6403C";"PAU";"2023";"644450202";"Pau Nord 2";"C";"T";1037.26571655273;5
"6403C";"PAU";"2023";"644450204";"Pau Nord 4";"C";"R";1251.0814666748;6
"6403C";"PAU";"2023";"644450204";"Pau Nord 4";"C";"T";3509.14581298828;8
"6403C";"PAU";"2023";"644450205";"Pau Nord 5";"C";"T";583.344909667969;4
"6403C";"PAU";"2023";"644450206";"Pau Nord 6";"C";"R";304.943176269531;1
"6403C";"PAU";"2023";"644450206";"Pau Nord 6";"C";"T";7662.52111663818;26
"6403C";"PAU";"2023";"644450301";"Pau Est 1";"C";"T";2213.86917877198;3
"6403C";"PAU";"2023";"644450401";"Pau Sud 1";"C";"R";305.625288009643;3
"6403C";"PAU";"2023";"644450401";"Pau Sud 1";"C";"T";2247.0275074482;3
"6403C";"PAU";"2023";"644450402";"Pau Sud 2";"C";"R";1614.25598556519;8
"6403C";"PAU";"2023";"644450403";"Pau Sud 3";"C";"T";6210.19006156921;7
"6403C";"PAU";"2023";"644450404";"Pau Sud 4";"C";"R";213.750007629395;1
"6403C";"PAU";"2023";"644450405";"Pau Sud 5";"C";"R";368.815948486328;1
"6403C";"PAU";"2023";"644450405";"Pau Sud 5";"C";"T";3880.64190387725;5
"6403C";"PAU";"2023";"644450502";"Pau Ouest 2";"C";"R";"secret";"secret"
"6403C";"PAU";"2023";"644450502";"Pau Ouest 2";"C";"T";1363.23792266846;4
"6403C";"PAU";"2023";"644450503";"Pau Ouest 3";"C";"R";"secret";"secret"
"6403C";"PAU";"2023";"644450503";"Pau Ouest 3";"C";"T";608.941644191742;5
"6723C";"ECOGI";"2023";"674040000";"Rittershoffen";"C";"I";157911;1
"6901C";"Vénissieux énergies";"2023";"691990201";"Centre Ville";"C";"R";543.719970703125;1
"6901C";"Vénissieux énergies";"2023";"691990301";"L'Arsenal Nord";"C";"R";3380.27001953124;3
"6901C";"Vénissieux énergies";"2023";"691990302";"L'Arsenal Sud";"C";"R";2438.60009765625;1
"6901C";"Vénissieux énergies";"2023";"691990303";"Grande Terre";"C";"T";"secret";"secret"
"6901C";"Vénissieux énergies";"2023";"692590102";"Gabriel Péri";"C";"R";2377.46995544433;6
"6901C";"Vénissieux énergies";"2023";"692590102";"Gabriel Péri";"C";"T";343.529998779296;1
"6901C";"Vénissieux énergies";"2023";"692590103";"Centre-Nord";"C";"R";3720.76000976562;5
"6901C";"Vénissieux énergies";"2023";"692590103";"Centre-Nord";"C";"T";1242.89001464844;3
"6901C";"Vénissieux énergies";"2023";"692590104";"Centre Ville";"C";"R";10420.6799583435;33
"6901C";"Vénissieux énergies";"2023";"692590104";"Centre Ville";"C";"T";2201.19101715088;7
"6901C";"Vénissieux énergies";"2023";"692590202";"Pasteur";"C";"R";2080.35998535156;4
"6901C";"Vénissieux énergies";"2023";"692590203";"Charréard";"C";"R";2333.52002716064;4
"6901C";"Vénissieux énergies";"2023";"692590203";"Charréard";"C";"T";1253.78200531006;5
"6901C";"Vénissieux énergies";"2023";"692590204";"Max Barel";"C";"R";4914.12991333008;2
"6901C";"Vénissieux énergies";"2023";"692590204";"Max Barel";"C";"T";639.6900100708;3
"6901C";"Vénissieux énergies";"2023";"692590301";"Jean Moulin";"C";"R";7264.76000976562;9
"6901C";"Vénissieux énergies";"2023";"692590301";"Jean Moulin";"C";"T";1498.21998596191;6
"6901C";"Vénissieux énergies";"2023";"692590302";"Henri Wallon";"C";"R";7223.55000305174;7
"6901C";"Vénissieux énergies";"2023";"692590302";"Henri Wallon";"C";"T";3136.84994506835;3
"6901C";"Vénissieux énergies";"2023";"692590303";"Charles Perrault";"C";"R";4710.39009094237;9
"6901C";"Vénissieux énergies";"2023";"692590303";"Charles Perrault";"C";"T";502.75;1
"6901C";"Vénissieux énergies";"2023";"692590401";"Saint-Exupéry";"C";"R";2577.20002746582;5
"6901C";"Vénissieux énergies";"2023";"692590401";"Saint-Exupéry";"C";"T";382.120998382567;2
"6901C";"Vénissieux énergies";"2023";"692590402";"Anatole France";"C";"R";16152.2400817871;26
"6901C";"Vénissieux énergies";"2023";"692590402";"Anatole France";"C";"T";1515.63997650146;6
"6901C";"Vénissieux énergies";"2023";"692590403";"Armstrong";"C";"R";6446.21000671385;12
"6901C";"Vénissieux énergies";"2023";"692590403";"Armstrong";"C";"T";970.600021362304;4
"6901C";"Vénissieux énergies";"2023";"692590501";"Louis Pergaud";"C";"R";12451.3602294922;8
"6901C";"Vénissieux énergies";"2023";"692590501";"Louis Pergaud";"C";"T";1267.02996826172;3
"6901C";"Vénissieux énergies";"2023";"692590502";"Léo Lagrange";"C";"R";8348.23500061034;13
"6901C";"Vénissieux énergies";"2023";"692590502";"Léo Lagrange";"C";"T";446.320003509521;4
"6901C";"Vénissieux énergies";"2023";"692590801";"Clos Verger";"C";"R";307;1
"6901C";"Vénissieux énergies";"2023";"692590802";"Parilly";"C";"R";3529.29998779297;9
"6901C";"Vénissieux énergies";"2023";"692590802";"Parilly";"C";"T";2712.90995025634;5
"6901C";"Vénissieux énergies";"2023";"692590803";"Jules Guesde";"C";"R";3404.69995117187;2
"6901C";"Vénissieux énergies";"2023";"692590803";"Jules Guesde";"C";"T";1735.90002441406;1
"6901C";"Vénissieux énergies";"2023";"692760102";"Géraniums-Champlantier-La Bégude";"C";"R";1644;1
"6901C";"Vénissieux énergies";"2023";"692760102";"Géraniums-Champlantier-La Bégude";"C";"T";1795;1
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"690400101";"Centre";"C";"R";606.430007934569;4
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"690400101";"Centre";"C";"T";1838.53999328613;4
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"690400102";"Contour";"C";"R";1708.0400390625;2
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"690810101";"Les Sources";"C";"R";6145.85000610351;15
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"690810101";"Les Sources";"C";"T";"secret";"secret"
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"690810102";"Vianney";"C";"R";1340.82995605468;1
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"690810104";"Les Serres-Tronchon";"C";"R";1067.56994628906;2
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"690810104";"Les Serres-Tronchon";"C";"T";442.260009765625;1
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"690810201";"Pole Enseignement-Recherche";"C";"R";640.859985351562;2
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"690810201";"Pole Enseignement-Recherche";"C";"T";3661.0400390625;1
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"690810301";"Charlier";"C";"T";239.489997863769;2
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"693890104";"Balmont Est";"C";"R";6258.39700317382;15
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"693890104";"Balmont Est";"C";"T";480.397994995117;4
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"693890604";"La Sauvegarde";"C";"R";5132.51998901366;11
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"693890604";"La Sauvegarde";"C";"T";1180.95700836181;5
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"693890605";"Balmont le Fort";"C";"R";4541.82005310058;7
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"693890605";"Balmont le Fort";"C";"T";1585.01399993896;7
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"693890606";"Le Château";"C";"R";7083.0799255371;7
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"693890606";"Le Château";"C";"T";3913.47008132934;8
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"693890607";"Le Plateau";"C";"R";6778.06007385253;19
"6904C";"Quartier La Duchère et Lyon 9e";"2023";"693890607";"Le Plateau";"C";"T";1152.05001068115;3
"6905C";"Réseau de Lyon";"2023";"690290101";"Les Genêts-Hôpitaux";"C";"R";996.200012207031;1
"6905C";"Réseau de Lyon";"2023";"690290101";"Les Genêts-Hôpitaux";"C";"T";30968.622467041;6
"6905C";"Réseau de Lyon";"2023";"690290102";"Gendarmerie-Garenne";"C";"R";1681.21999359131;9
"6905C";"Réseau de Lyon";"2023";"690290102";"Gendarmerie-Garenne";"C";"T";281.929992675781;1
"6905C";"Réseau de Lyon";"2023";"690290103";"Dubœuf-Camille Rousset";"C";"T";820.870012283325;2
"6905C";"Réseau de Lyon";"2023";"690290202";"Les Sapins-Pessivas";"C";"R";2857.16990661621;2
"6905C";"Réseau de Lyon";"2023";"690290203";"Caravelle";"C";"R";2765.89990234375;1
"6905C";"Réseau de Lyon";"2023";"690290204";"Terraillon-Plein Sud";"C";"R";447.459991455078;1
"6905C";"Réseau de Lyon";"2023";"690290301";"Bron Sud";"C";"R";3853.80003356933;3
"6905C";"Réseau de Lyon";"2023";"690290301";"Bron Sud";"C";"T";3811.50988769531;2
"6905C";"Réseau de Lyon";"2023";"690290501";"Parilly Nord";"C";"R";4096.42007446289;6
"6905C";"Réseau de Lyon";"2023";"690290501";"Parilly Nord";"C";"T";1201.49002075195;5
"6905C";"Réseau de Lyon";"2023";"690290502";"Parilly Sud";"C";"R";8725.09985351561;4
"6905C";"Réseau de Lyon";"2023";"690290601";"Essarts Nord";"C";"R";786.780029296874;2
"6905C";"Réseau de Lyon";"2023";"690290602";"Essarts Sud";"C";"R";1428.55999755859;2
"6905C";"Réseau de Lyon";"2023";"692560702";"Dumas-Genas";"C";"R";2795.73995971679;5
"6905C";"Réseau de Lyon";"2023";"692590601";"Moulin à Vent";"C";"R";735.510009765625;1
"6905C";"Réseau de Lyon";"2023";"692590602";"Ernest Renan";"C";"R";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"692590602";"Ernest Renan";"C";"T";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"692590701";"Georges Lévy";"C";"T";336.58999633789;1
"6905C";"Réseau de Lyon";"2023";"692590802";"Parilly";"C";"T";14496.6962890625;1
"6905C";"Réseau de Lyon";"2023";"692660102";"Charles Hernu";"C";"R";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"692660102";"Charles Hernu";"C";"T";1112.09999084472;4
"6905C";"Réseau de Lyon";"2023";"692660103";"Charpenne-Wilson";"C";"T";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"692660201";"Doua";"C";"R";1334.98999023437;3
"6905C";"Réseau de Lyon";"2023";"692660201";"Doua";"C";"T";29730.0768203735;93
"6905C";"Réseau de Lyon";"2023";"692660202";"11 Novembre";"C";"R";1515.56900024414;4
"6905C";"Réseau de Lyon";"2023";"692660301";"Tonkin Sud";"C";"R";609.960021972656;1
"6905C";"Réseau de Lyon";"2023";"692660301";"Tonkin Sud";"C";"T";2421.79000854491;3
"6905C";"Réseau de Lyon";"2023";"692660302";"Espace-Central";"C";"R";2782.88996887206;3
"6905C";"Réseau de Lyon";"2023";"692660302";"Espace-Central";"C";"T";3066.61995697021;7
"6905C";"Réseau de Lyon";"2023";"692660401";"Stalingrad";"C";"T";636.559997558593;2
"6905C";"Réseau de Lyon";"2023";"692660402";"Tonkin Ouest";"C";"I";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"692660402";"Tonkin Ouest";"C";"R";4281.7200012207;6
"6905C";"Réseau de Lyon";"2023";"692660402";"Tonkin Ouest";"C";"T";380.100009918213;2
"6905C";"Réseau de Lyon";"2023";"692660403";"Tonkin Nord";"C";"R";1373.6900024414;2
"6905C";"Réseau de Lyon";"2023";"692660403";"Tonkin Nord";"C";"T";250.110000610351;1
"6905C";"Réseau de Lyon";"2023";"692660501";"Croix Luizet Ouest";"C";"R";2364.87699890136;8
"6905C";"Réseau de Lyon";"2023";"692660501";"Croix Luizet Ouest";"C";"T";1778.54002380371;3
"6905C";"Réseau de Lyon";"2023";"692660601";"Einstein-Salengro";"C";"T";251.179992675781;1
"6905C";"Réseau de Lyon";"2023";"692660701";"Buers Est";"C";"R";455.329010009765;1
"6905C";"Réseau de Lyon";"2023";"692660702";"Buers Nord";"C";"R";3830.5799331665;13
"6905C";"Réseau de Lyon";"2023";"692660902";"Les Poulettes";"C";"R";729.659973144531;1
"6905C";"Réseau de Lyon";"2023";"692660902";"Les Poulettes";"C";"T";298.429992675781;1
"6905C";"Réseau de Lyon";"2023";"692661001";"Zola-Pressensé Ouest";"C";"R";1488.88996887207;4
"6905C";"Réseau de Lyon";"2023";"692661001";"Zola-Pressensé Ouest";"C";"T";1328.8800201416;4
"6905C";"Réseau de Lyon";"2023";"692661002";"Zola-Pressensé Est";"C";"R";4016.49002075194;4
"6905C";"Réseau de Lyon";"2023";"692661002";"Zola-Pressensé Est";"C";"T";329.25;1
"6905C";"Réseau de Lyon";"2023";"692661101";"Gratte-Ciel";"C";"R";3624.12997436523;8
"6905C";"Réseau de Lyon";"2023";"692661101";"Gratte-Ciel";"C";"T";720.090003967283;4
"6905C";"Réseau de Lyon";"2023";"692661201";"République";"C";"R";5641.93013000488;5
"6905C";"Réseau de Lyon";"2023";"692661202";"Albert Thomas";"C";"R";696.190002441406;1
"6905C";"Réseau de Lyon";"2023";"692661202";"Albert Thomas";"C";"T";1137.76998901367;3
"6905C";"Réseau de Lyon";"2023";"692661203";"Gratte-Ciel Ouest";"C";"R";1141.88999176025;2
"6905C";"Réseau de Lyon";"2023";"692661203";"Gratte-Ciel Ouest";"C";"T";320.309997558593;1
"6905C";"Réseau de Lyon";"2023";"692661204";"Gratte-Ciel Est";"C";"R";7577.94996643065;11
"6905C";"Réseau de Lyon";"2023";"692661204";"Gratte-Ciel Est";"C";"T";1296.44200134277;6
"6905C";"Réseau de Lyon";"2023";"692661205";"Tolstoï Nord";"C";"R";1997.23997497558;7
"6905C";"Réseau de Lyon";"2023";"692661205";"Tolstoï Nord";"C";"T";1071.18999481201;5
"6905C";"Réseau de Lyon";"2023";"692661301";"Tolstoï Sud";"C";"R";2134.10000610352;5
"6905C";"Réseau de Lyon";"2023";"692661301";"Tolstoï Sud";"C";"T";695.791023254394;3
"6905C";"Réseau de Lyon";"2023";"692661302";"Ferrandière";"C";"T";586.390014648437;1
"6905C";"Réseau de Lyon";"2023";"692661401";"Droits de l'Homme";"C";"R";3718.51989746094;3
"6905C";"Réseau de Lyon";"2023";"692661401";"Droits de l'Homme";"C";"T";852.809982299804;2
"6905C";"Réseau de Lyon";"2023";"692661402";"Damidot";"C";"R";3072.01000976562;4
"6905C";"Réseau de Lyon";"2023";"692661402";"Damidot";"C";"T";288.200012207031;1
"6905C";"Réseau de Lyon";"2023";"692661403";"Perralière";"C";"R";6004.2998046875;1
"6905C";"Réseau de Lyon";"2023";"692661404";"Pierre Cacard";"C";"R";1545.22998046875;2
"6905C";"Réseau de Lyon";"2023";"692661404";"Pierre Cacard";"C";"T";229.320007324218;1
"6905C";"Réseau de Lyon";"2023";"692661501";"Grandclément-Blum";"C";"T";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"692661702";"Réguillon";"C";"R";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"692661703";"Fays-Bon Coin";"C";"R";563.023986816406;2
"6905C";"Réseau de Lyon";"2023";"692661703";"Fays-Bon Coin";"C";"T";425.100006103515;1
"6905C";"Réseau de Lyon";"2023";"692661704";"Fays-Est";"C";"T";250;1
"6905C";"Réseau de Lyon";"2023";"692661804";"Poudrette";"C";"R";242.77000427246;2
"6905C";"Réseau de Lyon";"2023";"692661804";"Poudrette";"C";"T";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"692900701";"Porte des Alpes";"C";"T";2273.11993408203;2
"6905C";"Réseau de Lyon";"2023";"693820201";"Hôtel-Dieu";"C";"T";743.890014648437;1
"6905C";"Réseau de Lyon";"2023";"693820203";"Grande Poste";"C";"T";2150.19995117187;1
"6905C";"Réseau de Lyon";"2023";"693820501";"Montrochet-Marché-Gare";"C";"R";5067.86994934082;10
"6905C";"Réseau de Lyon";"2023";"693820501";"Montrochet-Marché-Gare";"C";"T";1793.21397972106;7
"6905C";"Réseau de Lyon";"2023";"693820502";"Rambaud-Seguin";"C";"R";3359.87804412841;8
"6905C";"Réseau de Lyon";"2023";"693820503";"Verdun-Suchet";"C";"T";1495.98501586914;3
"6905C";"Réseau de Lyon";"2023";"693820504";"Sainte-Blandine-Casimir Perier";"C";"R";2727.90904998778;5
"6905C";"Réseau de Lyon";"2023";"693820504";"Sainte-Blandine-Casimir Perier";"C";"T";577.333007812499;2
"6905C";"Réseau de Lyon";"2023";"693830101";"Préfecture";"C";"T";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"693830102";"Jussieu";"C";"R";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"693830102";"Jussieu";"C";"T";1751.34002685547;2
"6905C";"Réseau de Lyon";"2023";"693830103";"Les Halles";"C";"R";3038.83403015136;7
"6905C";"Réseau de Lyon";"2023";"693830103";"Les Halles";"C";"T";2569.65999603271;5
"6905C";"Réseau de Lyon";"2023";"693830104";"Bonnel-Servient";"C";"R";2606.14002418518;10
"6905C";"Réseau de Lyon";"2023";"693830104";"Bonnel-Servient";"C";"T";3864.84596824646;9
"6905C";"Réseau de Lyon";"2023";"693830105";"Mutualité-Liberté";"C";"I";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"693830105";"Mutualité-Liberté";"C";"R";656.539978027343;1
"6905C";"Réseau de Lyon";"2023";"693830201";"Moncey";"C";"T";930.709991455078;2
"6905C";"Réseau de Lyon";"2023";"693830202";"Voltaire";"C";"R";354.450012207031;1
"6905C";"Réseau de Lyon";"2023";"693830203";"Saxe-Villeroy";"C";"R";598.159973144531;1
"6905C";"Réseau de Lyon";"2023";"693830204";"Saint-Amour";"C";"R";3499.96996307372;5
"6905C";"Réseau de Lyon";"2023";"693830205";"Mairie-Saint-Sacrement";"C";"R";2881.25991821288;5
"6905C";"Réseau de Lyon";"2023";"693830205";"Mairie-Saint-Sacrement";"C";"T";1078.76998901367;2
"6905C";"Réseau de Lyon";"2023";"693830301";"Part Dieu";"C";"I";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"693830301";"Part Dieu";"C";"R";2898.65991210937;3
"6905C";"Réseau de Lyon";"2023";"693830301";"Part Dieu";"C";"T";20759.0979766845;29
"6905C";"Réseau de Lyon";"2023";"693830302";"Danton-Bir Hakeim";"C";"R";2385.9800415039;10
"6905C";"Réseau de Lyon";"2023";"693830302";"Danton-Bir Hakeim";"C";"T";2418.88998031616;8
"6905C";"Réseau de Lyon";"2023";"693830401";"Villette Gare";"C";"R";1680.16999816894;6
"6905C";"Réseau de Lyon";"2023";"693830401";"Villette Gare";"C";"T";2187.04000854492;6
"6905C";"Réseau de Lyon";"2023";"693830402";"Richerand-Petites Sœurs";"C";"R";3606.98986816406;4
"6905C";"Réseau de Lyon";"2023";"693830402";"Richerand-Petites Sœurs";"C";"T";3030.70999908447;6
"6905C";"Réseau de Lyon";"2023";"693830403";"Pompidou";"C";"T";600.140014648437;2
"6905C";"Réseau de Lyon";"2023";"693830404";"Baraban-Ferrandière";"C";"R";4117.32989501953;5
"6905C";"Réseau de Lyon";"2023";"693830405";"Saint-Anne de Baraban";"C";"R";1918.71998596191;5
"6905C";"Réseau de Lyon";"2023";"693830405";"Saint-Anne de Baraban";"C";"T";401.899993896484;1
"6905C";"Réseau de Lyon";"2023";"693830501";"Villette-Paul Bert";"C";"R";4462.75;4
"6905C";"Réseau de Lyon";"2023";"693830501";"Villette-Paul Bert";"C";"T";2167.2799987793;4
"6905C";"Réseau de Lyon";"2023";"693830502";"Paul Bert-Maisons Neuves";"C";"R";1198.44000244141;2
"6905C";"Réseau de Lyon";"2023";"693830502";"Paul Bert-Maisons Neuves";"C";"T";382.929992675781;1
"6905C";"Réseau de Lyon";"2023";"693830602";"Dauphiné-Montluc";"C";"T";2219.14000701904;4
"6905C";"Réseau de Lyon";"2023";"693830801";"Feuillat Harmonie";"C";"R";480.160003662109;1
"6905C";"Réseau de Lyon";"2023";"693830801";"Feuillat Harmonie";"C";"T";2135.84002685547;2
"6905C";"Réseau de Lyon";"2023";"693830803";"Grange Blanche";"C";"T";21084.30078125;1
"6905C";"Réseau de Lyon";"2023";"693830804";"Chaussagne Desgenettes";"C";"R";1664.9800415039;2
"6905C";"Réseau de Lyon";"2023";"693830804";"Chaussagne Desgenettes";"C";"T";1821.6900024414;2
"6905C";"Réseau de Lyon";"2023";"693860102";"Le Parc";"C";"T";4588.60009765624;2
"6905C";"Réseau de Lyon";"2023";"693860103";"Les Belges";"C";"R";645.269973754881;3
"6905C";"Réseau de Lyon";"2023";"693860103";"Les Belges";"C";"T";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"693860201";"Puvis de Chavannes";"C";"R";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"693860202";"Mongolfier-Le Lycée";"C";"R";3135.7600364685;8
"6905C";"Réseau de Lyon";"2023";"693860202";"Mongolfier-Le Lycée";"C";"T";3200.52000427246;2
"6905C";"Réseau de Lyon";"2023";"693860301";"Maréchal Lyautey";"C";"T";657.889984130858;2
"6905C";"Réseau de Lyon";"2023";"693860302";"Kléber";"C";"R";538.659988403319;2
"6905C";"Réseau de Lyon";"2023";"693860303";"Vitton";"C";"R";940.710021972655;3
"6905C";"Réseau de Lyon";"2023";"693860304";"Les Brotteaux";"C";"R";437.100006103515;1
"6905C";"Réseau de Lyon";"2023";"693860304";"Les Brotteaux";"C";"T";1964.46997070312;2
"6905C";"Réseau de Lyon";"2023";"693860403";"Edgard Quinet";"C";"R";469.459991455077;2
"6905C";"Réseau de Lyon";"2023";"693860403";"Edgard Quinet";"C";"T";1084.10000610351;2
"6905C";"Réseau de Lyon";"2023";"693860501";"Mairie";"C";"R";506.949996948241;2
"6905C";"Réseau de Lyon";"2023";"693860501";"Mairie";"C";"T";1411.48999786377;5
"6905C";"Réseau de Lyon";"2023";"693860502";"L'Europe";"C";"R";3973.22003173827;4
"6905C";"Réseau de Lyon";"2023";"693860502";"L'Europe";"C";"T";210.320007324218;1
"6905C";"Réseau de Lyon";"2023";"693860503";"Vauban";"C";"R";2729.16004180908;6
"6905C";"Réseau de Lyon";"2023";"693860503";"Vauban";"C";"T";258.230010986328;4
"6905C";"Réseau de Lyon";"2023";"693860601";"Jules Ferry";"C";"R";1841.04995727539;4
"6905C";"Réseau de Lyon";"2023";"693860601";"Jules Ferry";"C";"T";1008.8800239563;7
"6905C";"Réseau de Lyon";"2023";"693860603";"Juliette Récamier";"C";"R";1059.55999755859;2
"6905C";"Réseau de Lyon";"2023";"693860701";"Bellecombe-Thiers";"C";"R";2577.1900024414;11
"6905C";"Réseau de Lyon";"2023";"693860701";"Bellecombe-Thiers";"C";"T";613.020004272459;4
"6905C";"Réseau de Lyon";"2023";"693860702";"Les Charmettes-Lafayette";"C";"R";428.159988403319;3
"6905C";"Réseau de Lyon";"2023";"693860702";"Les Charmettes-Lafayette";"C";"T";939.529991149901;4
"6905C";"Réseau de Lyon";"2023";"693870102";"Universités";"C";"R";772.959991455077;2
"6905C";"Réseau de Lyon";"2023";"693870102";"Universités";"C";"T";9385.14981079102;5
"6905C";"Réseau de Lyon";"2023";"693870103";"Centre Berthelot";"C";"R";2550.92999267578;2
"6905C";"Réseau de Lyon";"2023";"693870103";"Centre Berthelot";"C";"T";1446.66700744629;8
"6905C";"Réseau de Lyon";"2023";"693870203";"Mairie";"C";"T";245.410003662109;1
"6905C";"Réseau de Lyon";"2023";"693870401";"Domer";"C";"R";1295.30004882812;1
"6905C";"Réseau de Lyon";"2023";"693870401";"Domer";"C";"T";553.210021972656;1
"6905C";"Réseau de Lyon";"2023";"693870402";"Jean Macé";"C";"R";898.829986572265;2
"6905C";"Réseau de Lyon";"2023";"693870402";"Jean Macé";"C";"T";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"693870403";"Route de Vienne";"C";"R";"secret";"secret"
"6905C";"Réseau de Lyon";"2023";"693870501";"Jules Brunard";"C";"R";631.419998168943;3
"6905C";"Réseau de Lyon";"2023";"693870501";"Jules Brunard";"C";"T";352.460006713867;3
"6905C";"Réseau de Lyon";"2023";"693870502";"Stalingrad";"C";"R";3065.28009033203;2
"6905C";"Réseau de Lyon";"2023";"693870503";"Lamothe";"C";"R";510.25;1
"6905C";"Réseau de Lyon";"2023";"693870503";"Lamothe";"C";"T";300.740005493163;2
"6905C";"Réseau de Lyon";"2023";"693870601";"Yves Farges";"C";"R";7687.50902557372;26
"6905C";"Réseau de Lyon";"2023";"693870601";"Yves Farges";"C";"T";8801.38489151001;10
